NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,TP_COR_RACA,TP_SEXO,NU_IDADE,TP_ENSINO,TP_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO
190001004967,2019,1506807,Santarém,15,PA,3,F,20,1.0,1,537.9,582.2,417.7,585.7,780.0
190001005059,2019,1506807,Santarém,15,PA,4,F,17,1.0,2,416.2,569.5,459.9,539.6,660.0
190001005138,2019,1508100,Tucuruí,15,PA,3,M,19,,1,526.9,589.7,708.5,588.7,860.0
190001005147,2019,1505205,Oeiras do Pará,15,PA,3,F,37,1.0,1,376.8,502.1,392.1,546.5,620.0
190001005219,2019,1502954,Eldorado do Carajás,15,PA,3,F,18,1.0,1,377.6,443.8,425.0,433.5,340.0
190001005296,2019,1501402,Belém,15,PA,1,M,26,1.0,1,520.2,594.0,672.5,587.4,700.0
190001005426,2019,1508407,Xinguara,15,PA,3,F,18,1.0,1,430.2,561.4,464.1,511.8,840.0
190001005474,2019,1504208,Marabá,15,PA,3,F,19,,1,490.4,592.8,475.5,605.0,860.0
190001005690,2019,1500602,Altamira,15,PA,2,F,22,1.0,1,413.1,486.0,503.9,522.0,620.0
190001005725,2019,1500800,Ananindeua,15,PA,3,F,17,1.0,2,483.0,517.7,589.4,521.8,860.0
190001005810,2019,1508407,Xinguara,15,PA,4,F,22,1.0,1,371.9,489.6,482.2,470.9,600.0
190001005813,2019,1501303,Barcarena,15,PA,1,F,18,,1,539.7,551.3,641.2,518.0,960.0
190001006092,2019,1508100,Tucuruí,15,PA,3,M,41,1.0,1,403.4,429.4,414.5,469.3,320.0
190001006298,2019,1501402,Belém,15,PA,1,F,20,,1,578.7,634.2,683.2,659.4,900.0
190001006349,2019,1505304,Oriximiná,15,PA,1,F,18,1.0,1,434.4,423.5,439.3,442.9,580.0
190001006391,2019,1501303,Barcarena,15,PA,3,F,19,1.0,2,419.5,422.6,362.0,460.0,520.0
190001006538,2019,1500107,Abaetetuba,15,PA,3,M,19,1.0,1,531.2,564.2,459.5,517.4,680.0
190001006775,2019,1501808,Breves,15,PA,2,M,21,1.0,1,567.9,545.6,598.6,517.0,740.0
190001007064,2019,1504208,Marabá,15,PA,1,F,18,1.0,1,544.4,412.7,480.7,512.1,840.0
190001007367,2019,1501402,Belém,15,PA,3,M,21,,1,454.5,409.6,360.7,477.6,340.0
190001007537,2019,1500800,Ananindeua,15,PA,2,F,30,1.0,1,474.5,522.5,444.3,417.1,600.0
190001007601,2019,1501402,Belém,15,PA,3,M,23,1.0,1,482.0,482.5,624.1,549.1,440.0
190001008111,2019,1506203,Salinópolis,15,PA,3,F,34,1.0,1,388.6,459.5,409.8,433.1,0.0
190001008203,2019,1501402,Belém,15,PA,3,M,19,1.0,1,383.8,570.4,607.2,548.7,700.0
190001008208,2019,1501402,Belém,15,PA,3,M,39,,1,454.3,532.6,408.1,513.5,260.0
190001008331,2019,1503606,Itaituba,15,PA,3,F,23,,1,412.7,546.2,423.1,532.8,560.0
190001008721,2019,1508209,Vigia,15,PA,3,F,21,1.0,1,393.5,485.9,434.5,505.8,560.0
190001008758,2019,1500800,Ananindeua,15,PA,2,F,18,1.0,2,345.0,574.1,402.2,504.0,660.0
190001008884,2019,1501402,Belém,15,PA,3,F,17,1.0,2,410.9,506.1,421.3,508.3,540.0
190001008929,2019,1506807,Santarém,15,PA,2,M,23,1.0,1,433.3,500.7,486.1,505.8,580.0
190001009227,2019,1506138,Redenção,15,PA,3,F,23,1.0,1,374.0,440.3,514.7,461.1,440.0
190001009612,2019,1501402,Belém,15,PA,2,F,19,1.0,2,396.7,355.5,478.3,468.8,560.0
190001009647,2019,1501402,Belém,15,PA,2,M,50,,1,378.3,422.5,479.9,333.5,320.0
190001010137,2019,1504208,Marabá,15,PA,1,M,19,1.0,2,577.3,628.9,674.9,608.1,900.0
190001010337,2019,1508001,Tomé-Açu,15,PA,3,F,18,,1,387.4,423.3,444.9,396.3,440.0
190001010553,2019,1500800,Ananindeua,15,PA,1,F,48,1.0,1,443.0,554.7,494.0,512.4,760.0
190001010713,2019,1501402,Belém,15,PA,3,F,20,1.0,2,389.6,388.0,443.4,445.3,560.0
190001010777,2019,1506807,Santarém,15,PA,3,F,44,1.0,1,491.2,385.2,431.2,431.6,560.0
190001010957,2019,1505502,Paragominas,15,PA,1,F,20,1.0,1,384.6,458.6,501.3,466.1,400.0
190001010973,2019,1501402,Belém,15,PA,1,M,21,1.0,1,516.4,535.7,500.7,512.0,580.0
190001011050,2019,1506708,Santana do Araguaia,15,PA,3,M,17,1.0,2,477.2,416.2,529.7,454.9,540.0
190001011137,2019,1504604,Mocajuba,15,PA,1,M,29,1.0,1,511.2,579.6,637.0,473.4,600.0
190001011307,2019,1506005,Prainha,15,PA,3,F,19,1.0,2,402.6,368.1,394.5,415.7,380.0
190001011348,2019,1500800,Ananindeua,15,PA,2,M,18,1.0,2,460.5,575.6,488.9,562.1,440.0
190001011540,2019,1500800,Ananindeua,15,PA,1,M,23,,1,481.9,558.5,489.6,541.5,540.0
190001011684,2019,1505502,Paragominas,15,PA,4,F,17,,2,439.4,377.1,374.3,472.7,520.0
190001011698,2019,1501402,Belém,15,PA,3,F,27,1.0,1,426.2,536.0,475.9,567.1,340.0
190001011706,2019,1506807,Santarém,15,PA,2,F,17,1.0,2,363.9,520.4,400.4,461.7,520.0
190001012091,2019,1502152,Canaã dos Carajás,15,PA,3,M,21,1.0,1,496.1,443.5,648.2,486.1,620.0
190001012179,2019,1500800,Ananindeua,15,PA,2,M,56,,1,413.1,563.2,439.2,471.2,520.0
190001012296,2019,1501402,Belém,15,PA,3,F,30,1.0,1,380.0,481.8,569.9,485.0,440.0
190001012529,2019,1501402,Belém,15,PA,3,F,25,,1,634.6,642.2,588.7,626.4,800.0
190001012764,2019,1502707,Conceição do Araguaia,15,PA,4,M,18,2.0,2,452.3,535.2,569.3,516.6,560.0
190001012891,2019,1504422,Marituba,15,PA,3,F,17,1.0,2,396.6,423.3,458.5,488.5,680.0
190001012973,2019,1503606,Itaituba,15,PA,3,F,20,1.0,1,531.7,397.1,382.9,551.5,620.0
190001013056,2019,1501402,Belém,15,PA,3,F,18,,1,529.4,548.2,487.1,556.4,640.0
190001013104,2019,1502756,Concórdia do Pará,15,PA,3,F,18,1.0,1,365.4,390.1,515.6,539.0,480.0
190001013210,2019,1500800,Ananindeua,15,PA,3,F,18,1.0,2,359.5,512.1,455.4,508.6,540.0
190001013278,2019,1504802,Monte Alegre,15,PA,3,F,19,1.0,2,490.9,493.9,509.7,506.4,760.0
190001013399,2019,1506195,Rurópolis,15,PA,3,F,18,1.0,2,396.9,382.1,449.3,457.9,300.0
190001013435,2019,1503903,Juruti,15,PA,4,M,18,1.0,2,466.8,433.1,490.9,545.4,520.0
190001013460,2019,1500909,Augusto Corrêa,15,PA,3,F,18,,2,525.2,413.3,375.6,486.8,640.0
190001013502,2019,1501402,Belém,15,PA,3,F,35,,1,355.6,493.4,388.8,493.1,540.0
190001013512,2019,1501402,Belém,15,PA,2,M,21,1.0,1,469.5,508.6,547.2,499.4,460.0
190001013895,2019,1505536,Parauapebas,15,PA,4,F,23,1.0,1,393.7,486.4,418.9,446.7,560.0
190001013994,2019,1501402,Belém,15,PA,3,F,52,1.0,1,432.5,514.0,430.8,523.0,580.0
190001014108,2019,1500107,Abaetetuba,15,PA,3,M,28,,1,337.2,394.2,379.5,492.6,560.0
190001014119,2019,1506187,Rondon do Pará,15,PA,1,F,17,1.0,2,401.6,446.7,591.4,534.6,620.0
190001014607,2019,1506500,Santa Izabel do Pará,15,PA,3,F,17,1.0,2,442.7,477.5,493.5,559.4,720.0
190001014608,2019,1501402,Belém,15,PA,3,F,30,1.0,1,403.3,547.3,421.2,530.6,580.0
190001014823,2019,1505536,Parauapebas,15,PA,3,M,18,1.0,2,381.8,457.7,553.1,547.6,580.0
190001015078,2019,1506138,Redenção,15,PA,0,F,17,1.0,2,430.5,414.8,424.9,422.4,460.0
190001015103,2019,1500800,Ananindeua,15,PA,3,F,21,1.0,1,487.3,499.4,385.0,483.6,420.0
190001015262,2019,1505536,Parauapebas,15,PA,3,M,21,,1,375.7,401.8,378.4,365.2,220.0
190001015460,2019,1503705,Itupiranga,15,PA,3,F,18,1.0,1,406.2,408.4,455.8,442.3,520.0
190001015698,2019,1504422,Marituba,15,PA,3,F,19,1.0,1,390.1,501.1,502.8,509.3,600.0
190001015811,2019,1505809,Portel,15,PA,3,F,43,1.0,1,364.4,402.8,429.7,501.6,520.0
190001015919,2019,1501402,Belém,15,PA,2,F,19,1.0,2,347.8,350.3,438.8,412.3,400.0
190001015939,2019,1505205,Oeiras do Pará,15,PA,3,F,30,1.0,1,441.9,475.1,533.8,344.8,460.0
190001016070,2019,1500800,Ananindeua,15,PA,1,M,19,1.0,1,494.4,486.0,384.6,474.2,560.0
190001016111,2019,1501402,Belém,15,PA,3,M,19,1.0,1,389.4,416.5,504.0,475.1,600.0
190001016337,2019,1500602,Altamira,15,PA,2,F,19,,1,462.5,511.3,405.2,561.5,360.0
190001016555,2019,1507300,São Félix do Xingu,15,PA,3,M,17,1.0,1,395.1,487.6,419.8,553.5,360.0
190001016568,2019,1506807,Santarém,15,PA,1,F,17,,1,430.6,481.7,394.5,533.8,420.0
190001016711,2019,1502400,Castanhal,15,PA,1,F,42,,1,541.6,577.9,548.1,573.9,420.0
190001016960,2019,1502939,Dom Eliseu,15,PA,3,F,17,1.0,2,445.8,386.2,446.3,480.8,640.0
190001017042,2019,1506807,Santarém,15,PA,1,F,22,1.0,1,396.5,439.7,373.3,397.3,460.0
190001017516,2019,1501402,Belém,15,PA,3,M,38,1.0,1,478.6,492.1,488.8,505.3,520.0
190001017545,2019,1504208,Marabá,15,PA,3,F,19,,1,468.6,407.6,363.4,451.7,560.0
190001017705,2019,1505536,Parauapebas,15,PA,1,F,16,1.0,2,443.8,513.1,411.9,531.6,720.0
190001017794,2019,1500602,Altamira,15,PA,3,F,18,,1,528.6,547.3,668.0,546.7,880.0
190001017954,2019,1501402,Belém,15,PA,3,M,20,1.0,1,471.1,451.9,407.0,489.2,540.0
190001017960,2019,1501907,Bujaru,15,PA,3,F,18,1.0,2,442.6,509.7,489.3,537.9,680.0
190001018014,2019,1500800,Ananindeua,15,PA,3,F,18,1.0,1,546.9,507.2,564.2,584.8,640.0
190001018015,2019,1502103,Cametá,15,PA,3,M,20,1.0,1,409.0,414.7,663.7,507.8,680.0
190001018133,2019,1506807,Santarém,15,PA,1,F,17,1.0,2,541.1,585.3,487.6,575.6,860.0
190001018311,2019,1506138,Redenção,15,PA,3,F,17,1.0,2,370.4,427.1,394.7,395.0,360.0
190001018450,2019,1504208,Marabá,15,PA,3,F,22,1.0,1,414.0,372.2,500.0,452.0,480.0
190001018541,2019,1501402,Belém,15,PA,3,F,50,1.0,1,503.4,402.2,424.2,413.4,300.0
190001018554,2019,1501402,Belém,15,PA,1,M,18,1.0,2,454.1,613.2,625.9,539.8,900.0
190001018599,2019,1507953,Tailândia,15,PA,3,F,17,1.0,3,403.5,528.3,384.2,475.7,600.0
190001019133,2019,1504208,Marabá,15,PA,3,F,18,1.0,2,506.1,448.8,468.6,510.4,680.0
190001019168,2019,1501402,Belém,15,PA,3,F,21,1.0,1,491.1,578.6,446.5,570.8,720.0
190001019253,2019,1500800,Ananindeua,15,PA,3,F,21,,1,558.1,575.0,561.7,550.0,840.0
190001019558,2019,1500800,Ananindeua,15,PA,3,M,18,1.0,2,604.6,604.9,706.6,592.1,700.0
190001019783,2019,1502152,Canaã dos Carajás,15,PA,3,M,17,1.0,2,430.4,501.0,427.5,408.7,320.0
