EDIÇÃO,CÓD. IES,NOME IES,SIGLA IES,CAMPUS,CÓD CURSO,NOME CURSO,GRAU,TURNO,TIPO MODALIDADE,MODALIDADE CONCORRÊNCIA,PERCENTUAL DE BÔNUS,NOTA DE CORTE
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS ALMÍCAR FERREIRA SOBRAL,116632,Enfermagem,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,662.7
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS MINISTRO REIS VELOSO,99738,Engenharia de Pesca,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,620.09
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS MINISTRO REIS VELOSO,99738,Engenharia de Pesca,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,646.65
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS MINISTRO REIS VELOSO,102566,Biomedicina,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,675.81
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS MINISTRO REIS VELOSO,102566,Biomedicina,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,693.79
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99714,Ciências Biológicas,Licenciatura,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,602.72
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99714,Ciências Biológicas,Licenciatura,Integral,Ampla Concorrência,Ampla Concorrência,0,619.58
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99718,Engenharia Florestal,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,618.73
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99718,Engenharia Florestal,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,641.64
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99722,Zootecnia,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,606.06
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99722,Zootecnia,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,614.14
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99916,Engenharia Agronômica,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,625.45
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,99916,Engenharia Agronômica,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,641.43
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,102675,Medicina Veterinária,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,639.22
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS PROFESSORA CINOBELINA ELVAS,102675,Medicina Veterinária,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,657.57
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS SENADOR HELVÍDIO NUNES DE BARROS,99864,Enfermagem,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,663.12
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS SENADOR HELVÍDIO NUNES DE BARROS,102580,Nutrição,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,649.86
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS SENADOR HELVÍDIO NUNES DE BARROS,102590,Sistemas de Informação,Bacharelado,Integral,Ações Afirmativas,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em escola pública do país. Não estão incluídas escolas filantrôpicas ou cenecistas ou escolas particulares com bolsa de estudo ou certificação pelo ENEM ou por exames de suplência ou similares. Candidatos portadores de diploma de curso superior de graduação não podem concorrer às vagas destinadas às cotas.,0,629.1
2012/2,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,CAMPUS SENADOR HELVÍDIO NUNES DE BARROS,102590,Sistemas de Informação,Bacharelado,Integral,Ampla Concorrência,Ampla Concorrência,0,646.98
2012/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,61560,Engenharia de Produção,Bacharelado,Noturno,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries e disciplinas/matérias do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos com aulas presenciais) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares. Excepcionalmente, poderá participar da política de ação afirmativa, o candidato que cursou todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos com aulas presenciais) em escolas públicas brasileiras das esferas federal, estadual ou municipal e que tenha concluído até duas disciplinas/matérias por meio do supletivo.",0,700.81
2012/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,61560,Engenharia de Produção,Bacharelado,Noturno,Ampla Concorrência,Ampla Concorrência,0,715.3
2012/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,80779,Sistemas de Informação,Bacharelado,Vespertino,Ações Afirmativas,"Candidatos que cursaram e concluíram integralmente todas as séries e disciplinas/matérias do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos com aulas presenciais) em escolas públicas brasileiras das esferas federal, estadual ou municipal, excluídos os exames de suplência, supletivos, telecursos, certificação pelo Exame Nacional do Ensino Médio ¿ ENEM ou similares. Excepcionalmente, poderá participar da política de ação afirmativa, o candidato que cursou todas as séries do ensino médio regular ou equivalente (técnico, magistério ou Educação de Jovens e Adultos com aulas presenciais) em escolas públicas brasileiras das esferas federal, estadual ou municipal e que tenha concluído até duas disciplinas/matérias por meio do supletivo.",0,659.51
2012/2,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,CAMPUS - JOÃO MONLEVADE,80779,Sistemas de Informação,Bacharelado,Vespertino,Ampla Concorrência,Ampla Concorrência,0,656.5
